系统编码,物料名称,规格,参数1,参数2,参数3,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
122-1256,硅钢片,B35A250 0.35*80*460mm 3-φ14,0.35,80,460,kg,31,0,0,0,7.522124
122-1267,硅钢片,B35A250  0.35*70*52.5mm,0.35,70,52.5,kg,0,15,0,0,6.465517
122-1268,硅钢片,B35A250  0.35*70*210mm 2-φ12,0.35,70,210,kg,117,0,0,0,7.433628
122-1269,硅钢片,B35A250  0.35*40*125mm,0.35,40,125,kg,0,0,7,0,7.433628
122-1272,硅钢片,B35A250  0.35*65*365mm,0.35,65,365,kg,0,0,0,99,7.844828
122-1275,硅钢片,B35A250  0.35*95*430mm 2-φ12,0.35,95,430,kg,32,0,0,0,7.256637
122-1285,硅钢片,B35A250 0.35*70*490mm,0.35,70,490,kg,0,0,0,22.8,7.844828
122-1299,硅钢片,B35A250 0.35*70*150mm  φ14,0.35,70,150,kg,0,0,0,14,7.758621
122-1300,硅钢片,B35A250 0.35*70*230mm  φ14,0.35,70,230,kg,0,0,0,11.5,7.758621
122-1312,硅钢片,B35A250 0.35*51.5*70mm,0.35,51.5,70,kg,0,12,0,0,7.433628
122-1321,硅钢片,B35A250 0.35*60*32mm,0.35,60,32,kg,0,0,11,0,7.844828
122-1330,硅钢片,B35A250  0.35*70*39.5mm,0.35,70,39.5,kg,59,0,0,0,7.433628
122-1336,硅钢片,B35A250 0.35*120*240mm,0.35,120,240,kg,0,47,0,0,7.522124
122-1337,硅钢片,B35A250 0.35*120*360mm,0.35,120,360,kg,0,20,0,0,7.522124
122-1342,硅钢片,B35A250 0.35*60*41.5mm,0.35,60,41.5,kg,877,5,0,0,7.522124
122-1343,硅钢片,B35A250 0.35*279*30mm 1-φ12,0.35,279,30,kg,330,0,0,0,7.522124
122-1344,硅钢片,B35A250 0.35*40*360mm,0.35,40,360,kg,20,0,0,0,7.522124
122-135,硅钢片,JIS35A2500.35*60*130Φ13,0.35,60,130,kg,0,0,0,7,8.205128
122-1354,硅钢片,B35A250 0.35*75*46.5mm,0.35,75,46.5,kg,0,0,10,0,7.433628
122-1357,硅钢片,B35A250 0.35*50*370mm,0.35,50,370,kg,40.5,0,0,0,7.522124
122-1363,硅钢片,B35A250 0.35*112*168mm（不齐平）,0.35,112,168,kg,0,0,11,0,9.247788
122-1368,硅钢片,B35A250 0.35*112*168mm（齐平）,0.35,112,168,kg,0,0,6,0,6.371681
122-1369,硅钢片,B35A250 0.35*30*48mm,0.35,30,48,kg,0,4,0,0,7.433628
122-1370,硅钢片,B35A250 0.35*30*110mm,0.35,30,110,kg,0,5,0,0,7.433628
122-1371,硅钢片,B35A250 0.35*70*27mm,0.35,70,27,kg,0,94,0,0,7.433628
122-1378,硅钢片,B35A250 0.35*100*380mm,0.35,100,380,kg,0,7,0,0,7.522124
122-1383,硅钢片,B35A250 0.35*100*540mm/3-14,0.35,100,540,kg,9,0,0,0,7.522124
122-1385,硅钢片,B35A250  0.35*50*47mm,0.35,50,47,kg,5,0,0,0,7.522124
122-1392,硅钢片,B35A250  0.35*50*250mm,0.35,50,250,kg,160,0,0,0,7.433628
122-1393,硅钢片,B35A250  0.35*60*55mm,0.35,60,55,kg,5,0,0,0,7.433628
122-1399,硅钢片,B35A250 0.35*150*44.5mm,0.35,150,44.5,kg,44,0,0,0,7.522124
122-1400,硅钢片,B35A250 0.35*150*710mm  3-φ22,0.35,150,710,kg,44,0,0,0,7.522124
122-1401,硅钢片,B35A250 0.35*30*109mm,0.35,30,109,kg,9,0,0,0,7.433628
122-1402,硅钢片,B35A250 0.35*30*100mm,0.35,30,100,kg,8,0,0,0,7.433628
122-1424,硅钢片,B35A250 0.35*430*60 5-φ14,0.35,430,60,kg,7,0,0,0,7.256637
122-145,硅钢片,JIS35A250 0.35*40*190 3-φ9,0.35,40,190,kg,0,0,14,0,8.119658
122-191,硅钢片,JIS 35A250 0.35*80*34.5mm,0.35,80,34.5,kg,9,0,0,0,7.433628
122-210,硅钢片,JIS 35A250 0.35*100*44.5,0.35,100,44.5,kg,53,0,0,0,7.256637
122-214,硅钢片,JIS 35A250 0.35*110*50,0.35,110,50,kg,5,0,0,0,7.433628
122-215,硅钢片,JIS 35A250 0.35*170*50 1-Φ12,0.35,170,50,kg,5,0,0,0,7.433628
